Türkçe ,İngilizce
excellent,"mükemmel, kusursuz"
except,"hariç, dışında"
exception,"istisna, fark"
exceptional,"olağanüstü, istisnai"
excess,"fazla, aşırı"
excessive,"aşırı, fazla"
exchange,"değiş tokuş, takas"
exciting,"heyecan verici, heyecanlı"
exclude,"dışlamak, hariç tutmak"
exclusion,"dışlama, hariç tutma"
exclusive,"özel, seçkin"
exclusively,"sadece, yalnızca"
excuse,"mazeret, bahane"
execute,"icra etmek, gerçekleştirmek"
execution,"idam, icra"
executive,"yönetici, yetkili"
exempt,"muaf, bağışık"
exercise,"egzersiz, egzersiz yapmak"
exhaust,"tüketmek, yormak"
exhibit,"sergilemek, sergi"
exhibition,"sergi, gösteri"
exist,"var olmak, mevcut olmak"
existence,"varlık, mevcudiyet"
exit,"çıkış, çıkmak"
expand,"genişlemek, genişletmek"
expansion,"genişleme, genişletme"
expect,"ummak, beklemek"
expectation,"beklenti, umut"
expected,beklenen
expensive,pahalı
experience,"deneyim, tecrübe"
experienced,"deneyimli, tecrübeli"
experiment,"deney, deneme"
experimental,deneysel
expert,"uzman, uzmanlık"
expertise,"uzmanlık, uzmanlık alanı"
expire,"süresi dolmak, sona ermek"
explain,"açıklamak, izah etmek"
explanation,"açıklama, izah"
explode,"patlamak, infilak etmek"
exploit,"sömürmek, faydalanmak"
exploration,"keşif, araştırma"
explore,"keşfetmek, araştırmak"
explosion,"patlama, infilak"
export,"ihracat, ihraç etmek"
expose,"maruz bırakmak, açığa çıkarmak"
exposure,"maruz kalma, teşhir"
express,"ifade etmek, belli etmek"
expression,"ifade, anlatım"
extend,"uzatmak, genişletmek"
extension,"uzatma, ek"
extensive,"kapsamlı, geniş"
extent,"derece, boyut"
external,"dış, harici"
extra,"ekstra, fazladan"
extract,"çıkarmak, özünü çıkarmak"
extraordinary,"sıradışı, olağanüstü"
extreme,"aşırı, aşırılık"
extremely,"son derece, aşırı"
eye,göz
eyebrow,kaş
eyelash,kirpik
fabric,"kumaş, doku"
face,yüz
facial,yüzle ilgili
facilitate,"kolaylaştırmak, olanak sağlamak"
facility,"tesis, olanak"
fact,"gerçek, hakikat"
factor,"faktör, etken"
factory,fabrika
faculty,"yetenek, öğretim üyeleri"
fade,"solmak, solgunlaşmak"
fail,"başarısız olmak, başarısızlık"
failure,"başarısızlık, hata"
faint,"bayılmak, baygınlık"
fair,"adil, dürüst"
fairly,"oldukça, adilce"
faith,"inanç, güven"
faithful,"sadık, vefalı"
fake,"sahte, taklit"
fall,"düşmek, sonbahar"
FALSE,"yanlış, sahte"
familiar,"tanıdık, aşina"
family,aile
famine,"kıtlık, açlık"
famous,"ünlü, meşhur"
fan,"hayran, fan"
fancy,"süslü, fantezi"
fantastic,"harika, fantastik"
fantasy,"fantezi, hayal"
far,"uzak, uzakta"
fare,"ücret, bilet"
farm,çiftlik
farmer,çiftçi
fashion,"moda, şekil"
fashionable,"modaya uygun, şık"
fast,hızlı
fasten,"bağlamak, tutturmak"
fat,"yağlı, yağ"
fate,kader
father,baba
fault,"hata, kusur"
favor,"iyilik, lütuf"
favorable,"olumlu, elverişli"
favorite,"favori, en sevilen"
fear,"korku, korkmak"
feast,"ziyafet, şölen"
feather,"tüy, kuş tüyü"
feature,"özellik, nitelik"
February,Şubat
federal,"federal, ulusal"
fee,"ücret, harç"
feed,"beslemek, yedirmek"
feedback,geri bildirim
feel,"hissetmek, dokunmak"
feeling,"his, duygu"
fellow,"arkadaş, dost"
female,"dişi, kadın"
fence,çit
festival,"festival, şenlik"
fetch,"alıp getirmek, gidip getirmek"
fever,"ateş, humma"
few,"birkaç, az"
fiber,"lif, tel"
fiction,"kurgu, hayal"
field,"alan, tarla"
fierce,"şiddetli, vahşi"
fight,"kavga etmek, savaşmak"
figure,"şekil, figür"
file,"dosya, dosyalamak"
fill,"doldurmak, dolmak"
film,"film, film çekmek"
filter,"filtre, süzmek"
final,"son, nihai"
finally,"sonunda, nihayet"
finance,"finans, para piyasası"
financial,"finansal, mali"
find,"bulmak, keşfetmek"
finding,"bulgu, sonuç"
fine,"iyi, güzel"
finger,parmak
finish,"bitirmek, bitiş"
fire,"ateş, yangın"
fireplace,şömine
firm,"sıkı, firma"
firmly,"sağlam bir şekilde, sıkıca"
first,"ilk, baş"
firstly,ilk olarak
fish,balık
fisherman,balıkçı
fishing,balıkçılık
fist,yumruk
fit,"uygun, uymak"
fitness,"uygunluk, form"
fix,"onarmak, sabitlemek"
fixed,"sabit, değişmez"
fixture,"sabit eşya, tesisat"
flag,bayrak
flame,"alev, ateş"
flash,"parlamak, ışıldamak"
flat,"düz, apartman dairesi"
flavor,"tat, lezzet"
flaw,"kusur, hata"
flea,pire
flee,"kaçmak, kaçınmak"
fleet,"donanma, filo"
flesh,"et, etli kısım"
flexibility,esneklik
flexible,"esnek, bükülebilir"
flick,"hafifçe vurmak, fırlatmak"
flight,"uçuş, kaçış"
float,"yüzmek, batmamak"
flood,"sel, su baskını"
floor,"zemin, kat"
flour,un
flow,"akış, akmak"
flower,çiçek
flu,grip
fluid,"sıvı, akışkan"
flush,"sifon çekmek, yüzeyi temizlemek"
fly,"uçmak, sinek"
focus,"odaklanmak, odak"
fold,"katlamak, kıvrım"
folder,klasör
folk,"halk, halka ait"
follow,"takip etmek, izlemek"
following,"takip eden, izleyen"
follow up,"takip etmek, izlemek"
food,"yiyecek, gıda"
fool,"aptal, budala"
foolish,"aptalca, budalaca"
foot,"ayak, ayaklık"
football,futbol
for,"için, … e kadar"
forbid,"yasaklamak, men etmek"
force,"zorlamak, güç"
forecast,"tahmin etmek, tahmin"
forehead,alın
foreign,"yabancı, dış"
forest,orman
forever,sonsuza kadar
forget,unutmak
forgive,affetmek
fork,çatal
form,"form, biçim"
formal,"resmi, ciddi"
formally,resmi olarak
formation,"oluşum, formasyon"
former,"eski, önceki"
formerly,"eskiden, önceden"
formula,"formül, reçete"
forth,ileri
fortunate,"şanslı, talihli"
fortunately,"neyse ki, şans eseri"
fortune,"şans, talih"
forward,"ileri, ileriye"
fossil,fosil
foster,"bakmak, beslemek"
foundation,"temel, vakıf"
founder,"kurucu, kurmak"
found,"bulmak, keşfetmek"
four,dört
fourth,dördüncü
fraction,"kesir, bölüm"
fragile,"kırılgan, hassas"
fragment,"parça, kırıntı"
frame,"çerçeve, kafes"
framework,"yapı, çerçeve"
frankly,"açıkçası, dürüstçe"
fraud,"dolandırıcılık, hile"
free,"özgür, bedava"
freedom,"özgürlük, serbestlik"
freeze,"donmak, dondurmak"
frequency,"sıklık, frekans"
frequent,"sık, sıkça"
frequently,"sık sık, sıkça"
fresh,"taze, yeni"
fridge,buzdolabı
friend,arkadaş
friendly,"dostça, arkadaşça"
friendship,"dostluk, arkadaşlık"
frighten,"korkutmak, ürkütmek"
from,"-den, -dan, -dan itibaren"
front,"ön, ön taraf"
frontier,"sınır, sınır bölgesi"
fruit,meyve
frustration,"hayal kırıklığı, hüsran"
fry,"kızartmak, kavurmak"
fuel,yakıt
fulfill,"yerine getirmek, gerçekleştirmek"
full,"dolu, tam"
fully,"tamamen, bütünüyle"
fun,"eğlence, şaka"
function,"işlev, fonksiyon"
fund,"fon, kaynak"
fundamental,"temel, esas"
funeral,"cenaze, cenaze töreni"
funny,komik
fur,kürk
furious,"öfkeli, kızgın"
furniture,"mobilya, mobilyalar"
further,"daha ileri, daha uzak"
furthermore,"dahası, ayrıca"
future,gelecek
gain,"kazanç, kazanmak"
gallery,galeri
game,"oyun, oynamak"
gang,"çete, ekip"
gap,"boşluk, aralık"
garage,garaj
garbage,"çöp, atık"
garden,"bahçe, park"
garlic,sarımsak
gas,gaz
gate,"kapı, geçit"
gather,"toplamak, bir araya getirmek"
gathering,"toplanma, toplama"
gay,"eşcinsel, neşeli"
gaze,"bakış, dik dik bakmak"
gear,"vites, dişli"
gender,cinsiyet
general,genel
generally,genellikle
generate,"üretmek, oluşturmak"
generation,"nesil, kuşak"
generous,"cömert, eli açık"
generously,"cömertçe, bolca"
genetic,genetik
genius,"dahi, üstün zekalı"
gentle,"nazik, yumuşak"
gentleman,"beyefendi, efendi"
genuinely,"gerçekten, samimiyetle"
geography,coğrafya
geological,jeolojik
geometry,geometri
get,"almak, elde etmek"
giant,"dev, kocaman"
gift,"hediye, armağan"
giggle,"kıkırdamak, kıkırdatmak"
girl,"kız, kız çocuğu"
girlfriend,kız arkadaş
give,vermek
given,verilmiş
glad,"memnun, sevinçli"
glance,"göz atmak, bakmak"
glass,"cam, bardak"
global,"küresel, evrensel"
glove,eldiven
go,"gitmek, gitmek"
goal,"hedef, amaç"
goat,keçi
god,tanrı
gold,altın
golden,"altın renginde, altın gibi"
golf,golf
good,"iyi, iyi şekilde"
goods,"mal, malzeme"
goodbye,"hoşça kal, güle güle"
goodness,"iyilik, güzellik"
goods,"mal, eşya"
gorgeous,"muhteşem, harika"
gossip,"dedikodu, dedikodu yapmak"
govern,"yönetmek, hükmetmek"
government,"hükümet, devlet"
governor,"vali, hükümdar"
grab,"kapmak, yakalamak"
grace,"zarafet, lütuf"
graceful,"zarif, hoş"
grade,"sınıf, derece"
gradual,"kademeli, aşamalı"
gradually,"yavaş yavaş, kademeli"
graduate,"mezun olmak, mezun"
grain,"tahıl, tanecik"
gram,gram
grammar,dilbilgisi
grand,"muazzam, büyük"
grandchild,torun
grandfather,büyükbaba
grandmother,büyükanne
grant,"vermek, bağışlamak"
grape,üzüm
graphic,"grafik, çizgesel"
grass,"çimen, ot"
grateful,"minnettar, şükranlı"
grave,mezar
gravity,yerçekimi
gray,gri
great,"harika, büyük"
greatly,"büyük ölçüde, çok"
greet,"selamlamak, karşılamak"
greeting,"selam, tebrik"
grey,gri
grid,"ızgara, kafes"
grief,"keder, üzüntü"
groceries,"market alışverişi, bakkal alışverişi"
grocery,"market, bakkal"
ground,"zemin, yer"
group,"grup, topluluk"
grow,"büyümek, yetiştirmek"
growth,"büyüme, gelişme"
guarantee,"garanti, garanti vermek"
guard,"bekçi, muhafız"
guess,"tahmin etmek, tahmin"
guest,misafir
guidance,"rehberlik, yönlendirme"
guide,"rehber, rehberlik etmek"
guilt,"suç, suçluluk"
guilty,"suçlu, kabahatli"
guitar,gitar
gun,"silah, tüfek"
guy,"adam, eleman"
habit,"alışkanlık, huy"
habitat,"yaşam alanı, ortam"
hair,saç
haircut,"saç kesimi, kuaföre gitme"
half,"yarım, yarı"
hall,"salon, koridor"
halt,"durdurmak, durak"
ham,jambon
hamburger,hamburger
hammer,çekiç
hand,"el, vermek, iletmek"
handbag,el çantası
handbook,"el kitabı, kılavuz"
handful,"avuç dolusu, el dolusu"
handicap,"engel, dezavantaj"
handle,"tutmak, ele almak"
handsome,"yakışıklı, güzel"
hang,"asmak, sallanmak"
hang out,"takılmak, dışarıda vakit geçirmek"
happen,"olmak, meydana gelmek"
happiness,"mutluluk, sevinç"
happy,"mutlu, mutlu olmak"
harbor,liman
hard,"zor, sert"
hardly,"neredeyse hiç, zar zor"
hardship,"zorluk, güçlük"
hardware,"donanım, donanım parçaları"
harm,"zarar, zarar vermek"
harmful,"zararlı, zarar verici"
harmony,"uyum, harmoni"
harvest,"hasat etmek, hasat"
hat,şapka
hate,nefret etmek
hatred,"nefret, kin"
have,"sahip olmak, var"
hazard,"tehlike, risk"
he,o (erkek)
head,"baş, kafa"
headache,baş ağrısı
heal,"iyileşmek, iyileştirmek"
health,sağlık
healthy,sağlıklı
heap,"yığın, küme"
hear,"duymak, işitmek"
hearing,"işitme, duruşma"
heart,"kalp, yürek"
heat,"ısı, ısıtmak"
heater,"ısıtıcı, kalorifer"
heaven,cennet
heavily,"ağır bir şekilde, yoğun olarak"
heavy,"ağır, yoğun"
heel,topuk
height,"yükseklik, boy"
helicopter,helikopter
hell,"cehennem, lanet"
hello,"merhaba, selam"
helmet,kask
help,"yardım etmek, yardım"
helpful,"yardımsever, yararlı"
hence,"bundan dolayı, bu nedenle"
her,onun (kadın)
here,"burada, burası"
heritage,"miras, kalıtım"
hero,kahraman
herself,kendi (kadın)
hesitate,tereddüt etmek
hesitation,"tereddüt, duraksama"
hi,"merhaba, selam"
hide,"saklamak, gizlemek"
high,"yüksek, yüksek seviyede"
highlight,"vurgulamak, öne çıkarmak"
highly,"son derece, yüksek derecede"
highway,"otoyol, karayolu"
hill,"tepe, bayır"
him,onu (erkek)
himself,kendisi (erkek)
hip,kalça
hire,"kiralamak, işe almak"
his,onun (erkek)
historian,tarihçi
historic,"tarihi, tarihî"
historical,"tarihsel, tarihî"
history,tarih
hit,"vurmak, çarpmak"
hobby,"hobi, merak"
hold,"tutmak, düzenlemek"
hole,"delik, çukur"
holiday,"tatil, bayram"
hollow,"oyuk, boşluk"
holy,"kutsal, mübarek"
home,"ev, yuva"
homework,ev ödevi
honest,"dürüst, namuslu"
honestly,"dürüstçe, açıkça"
honey,bal
honor,"onur, şeref"
hook,"çengel, kanca"
hope,"umut etmek, umut"
hopefully,"umutla, umutla ki"
hopeless,"umutsuz, çaresiz"
horizon,ufuk
horn,"boynuz, korna"
horror,"korku, dehşet"
horse,"at, zıpkın"
hospital,hastane
host,"ev sahibi, ağırlamak"
hot,"sıcak, acı"
hotel,otel
hour,"saat, saat başı"
house,"ev, konut"
household,"ev halkı, hane halkı"
housing,"konut, konut yapımı"
how,"nasıl, ne kadar"
however,"ancak, ama, fakat"
huge,"muazzam, kocaman"
human,"insan, beşer"
humanity,"insanlık, beşerlik"
humble,"alçak gönüllü, mütevazı"
humor,"mizah, espri"
humorous,"komik, mizahi"
hundred,yüz
hundredth,yüzüncü
hunger,"açlık, acıkmak"
hungry,"aç, acıkmış"
hunt,"avlanmak, avlamak"
hunter,avcı
hunting,"avlanma, avcılık"
hurry,"acele etmek, hızlı olmak"
hurt,"incitmek, acıtmak"
husband,"koca, eş"
hypothesis,"hipotez, varsayım"
I,ben
ice,buz
ice cream,dondurma
idea,"fikir, düşünce"
ideal,"ideal, kusursuz"
identification,"kimlik, tanımlama"
identify,"tanımlamak, belirlemek"
identity,"kimlik, kişilik"
idiot,"aptal, salak"
if,eğer
ignore,"görmezden gelmek, ihmal etmek"
ill,hasta
illegal,"yasa dışı, kaçak"
illness,"hastalık, rahatsızlık"
illustrate,"göstermek, resmetmek"
illustration,"resim, örnek"
image,"görüntü, imaj"
imagination,"hayal gücü, imgelem"
imagine,"hayal etmek, düşünmek"
immediate,"hemen, derhal"
immediately,"hemen, derhal"
immigrant,göçmen
immigration,"göç, göç etme"
impact,"etki, darbe"
implement,"uygulamak, yerine getirmek"
implication,"sonuç, ima"
imply,"ima etmek, anlamına gelmek"
import,"ithalat, ithal etmek"
importance,"önem, ehemmiyet"
important,"önemli, mühim"
impose,"dayatmak, zorlamak"
impossible,"imkansız, olanaksız"
impress,"etkilemek, iz bırakmak"
impression,"izlenim, etki"
impressive,"etkileyici, etkileyici"
improve,"gelişmek, ilerlemek"
improvement,"gelişme, ilerleme"
in,"içinde, de, da, -de, -da"
incentive,"teşvik, özendirme"
incident,"olay, hadise"
include,"içermek, kapsamak"
including,"içeren, dahil"
income,"gelir, kazanç"
incorporate,"birleştirmek, dahil etmek"
increase,"artmak, artış"
increasingly,"giderek, artarak"
incredible,"inanılmaz, şaşırtıcı"
incredibly,"inanılmaz derecede, şaşırtıcı bir şekilde"
indeed,"gerçekten, aslında"
independence,"bağımsızlık, özgürlük"
independent,"bağımsız, özgür"
index,"dizin, endeks"
indicate,"belirtmek, işaret etmek"
indication,"belirti, işaret"
individual,"birey, bireysel"
indoor,"kapalı alan, iç mekan"
indoors,"kapalı mekanda, içerde"
induce,"sebep olmak, ikna etmek"
indulge,"şımartmak, vermek, kaçırmak"
industrial,"endüstriyel, sanayi"
industry,"endüstri, sanayi"
inevitable,"kaçınılmaz, muhakkak"
inevitably,kaçınılmaz bir şekilde
infant,"bebek, süt çocuğu"
infection,"enfeksiyon, bulaşma"
infectious,bulaşıcı
infer,"sonuç çıkarmak, anlamak"
influence,"etki, tesir"
influential,"etkili, etkileyici"
inform,"bilgilendirmek, haber vermek"
information,"bilgi, bilgiler"
infrastructure,altyapı
ingredient,"içerik, malzeme"
inhabit,"ikamet etmek, oturmak"
inhabitant,"sakin, oturan"
inheritance,"miras, kalıtım"
inherit,miras almak
initial,"ilk, başlangıç"
initially,"başlangıçta, ilk olarak"
initiate,"başlatmak, başlatıcı"
initiative,"girişim, teşebbüs"
injure,"yaralamak, incitmek"
injury,"yaralanma, sakatlık"
ink,mürekkep
inner,"iç, dahili"
innocent,"masum, suçsuz"
inquiry,"sorgu, soruşturma"
insect,böcek
insert,"eklemek, yerleştirmek"
inside,"içinde, içeride"
insight,"içgörü, anlayış"
insist,ısrar etmek
insistence,ısrar
insistently,"ısrarla, inatla"
inspect,"denetlemek, incelemek"
inspection,"denetleme, inceleme"
inspector,"denetçi, muayene memuru"
inspire,ilham vermek
inspiring,ilham verici
install,"kurmak, monte etmek"
installation,"kurulum, montaj"
instance,"örnek, misal"
instead,"bunun yerine, -e karşın"
institution,"kuruluş, kurum"
instruct,"talimat vermek, öğretmek"
instruction,"talimat, yönerge"
instructor,"eğitmen, öğretmen"
instrument,"enstrüman, alet"
insult,"hakaret etmek, aşağılamak"
insurance,sigorta
insure,"sigorta etmek, güvence altına almak"
intellectual,"entelektüel, zihinsel"
intelligence,"zeka, istihbarat"
intelligent,"zeki, akıllı"
intend,"niyet etmek, amaçlamak"
intense,"yoğun, şiddetli"
intensity,"yoğunluk, şiddet"
intention,"niyet, maksat"
intentionally,"kasten, bilerek"
interaction,"etkileşim, etkileşim"
interactive,"etkileşimli, etkileşimli"
interest,"ilgi, faiz"
interested,"ilgili, meraklı"
interesting,"ilginç, ilgi çekici"
interior,"iç, dahili, iç kısım"
interpret,"yorumlamak, çevirmek"
interpretation,"yorum, tercüme"
interrupt,"araya girmek, kesmek"
interruption,"kesinti, ara"
interval,"aralık, mola"
interview,"röportaj, mülakat"
into,"içine, -e doğru, içeri"
introduce,"tanıtmak, tanıştırmak"
introduction,"tanıtım, giriş"
invade,"istila etmek, işgal etmek"
invasion,"istila, işgal"
invent,"icat etmek, bulmak"
invention,"icat, buluş"
inventory,"envanter, stok"
invest,yatırım yapmak
investigate,"araştırmak, soruşturmak"
investigation,"araştırma, soruşturma"
investigator,"araştırmacı, soruşturmacı"
invisible,görünmez
invitation,"davet, davetiye"
invite,davet etmek
involved,"dahil, ilgili"
involvement,"katılım, ilgili"
iron,"demir, ütü"
island,ada
isolate,"izole etmek, soyutlamak"
isolated,"izole, yalnız"
isolation,"izolasyon, soyutlama"
issue,"sorun, konu"
it,o
item,"madde, parça"
its,onun
itself,kendisi
jacket,ceket
jail,"hapishane, zindan"
jam,reçel
January,Ocak
jar,kavanoz
jaw,çene
jazz,caz
jealous,kıskanç
jeans,kot pantolon
jelly,"jöle, jelibon"
jewelry,"mücevherat, takı"
job,"iş, meslek"
join,"katılmak, birleştirmek"
joint,"eklem, birleşik"
joke,"şaka, espri"
journalist,"gazeteci, muhabir"
journey,"yolculuk, seyahat"
joy,"sevinç, neşe"
judge,"hakim, yargıç"
judgment,"karar, hüküm"
juice,"meyve suyu, suyu"
July,Temmuz
jump,"atlamak, sıçramak"
June,Haziran
junior,"genç, alt seviyede"
junk,"gereksiz şeyler, hurda"
jury,jüri
just,"sadece, hemen"
justice,"adalet, hak"
justify,haklı çıkarmak
keen,"istekli, hevesli"
keep,"tutmak, korumak"
keyboard,klavye
kick,"tekmelemek, tekme"
kid,"çocuk, çocuk yapmak"
kill,"öldürmek, öldürme"
killer,"katil, öldürücü"
killing,"öldürme, katletme"
kilogram,kilogram
kilometer,kilometre
kind,"tür, çeşit"
kindly,"nazikçe, nazik"
kindness,"kibarlık, iyilik"
king,kral
kingdom,"krallık, ülke"
kiss,"öpmek, öpücük"
kitchen,mutfak
knee,diz
knife,bıçak
knit,örmek
knock,"vurmak, kapıyı çalmak"
know,"bilmek, tanımak"
knowledge,"bilgi, bilgi sahibi olma"
laboratory,laboratuvar
lack,"eksiklik, yokluk"
ladder,"merdiven, basamak"
lady,"hanım, bayan"
lake,göl
lamp,lamba
land,"arazi, kara"
landscape,"manzara, peyzaj"
lane,"yol, şerit"
language,"dil, lisan"
land area,yüzölçümü
landmark,simge
landscape,tabiat
largely,"büyük ölçüde, çoğunlukla"
last,"(zaman) sürmek, belirli bir süre boyunca devam etmek"
lasting,"kalıcı, uzun süreli"
late-comer,geç kalan kişi
latest,"en son, en yeni"
latter,"ikinci, sonraki"
laugh,gülmek
laughter,"kahkaha, gülmek"
lava,lav
law,"hukuk, kural, kanun, yasa"
lay emphasis on,vurgulamak
layer,"tabaka, katman"
lead,sürdürmek
lead to,"sebep olmak, yol açmak"
leader,lider
leading,"öncü, önde gelen"
leaf (pl. leaves),"(ağaç) yaprak, sayfa"
leather,deri
leave (V2 - 3 left),"ayrılmak, çıkmak, geride bırakmak"
lecture,ders
legacy,miras
legal,hukuki
legend,efsane
legislation,yasa
legislative,yasama
leisure time,boş zaman
lend,borç vermek
length,uzunluk
lessen,azalmak
lesson,ders
let sb. down,hayal kırıklığına uğratmak
let sb. know,haber vermek
letter,mektup
level,"dengelemek, düzey, seviye"
liable,eğilimli
lie,yalan söylemek
lie down,uzanmak
lie in,temelinde yatmak
life,yaşam
lifelike,gerçekçi
lifespan,ömür süresi
lifetime,ömür
light (V2 - 3 lit),yakmak / ışık / hafif / (renk) açık
light up,aydınlatmak
lighthouse,deniz feneri
likely,muhtemel
liken,benzetmek
likeness,benzerlik
limit,sınır
limited,sınırlı
limited to,sınırlı
line,"sıra, kuyruk, şerit"
linear,çizgisel
linguistic,dilbilim
linked,"bağlı, birleşik"
lion,aslan
liquid,sıvı
literacy,okuryazarlık
literary,edebi
literate,okuryazar
literature,edebiyat
litter,"atık, çöp"
live,canlı
live up to,-e göre yaşamak
livelihood,yaşam
living,canlı
local,yerel
locate,konumlandırmak
location,"konum, yer"
lock,kilitlemek
logic,mantık
logical,mantıksal
lone,"tek, yalnız"
loneliness,yalnızlık
lonely,yalnız
long-term,uzun dönemli
long-lasting,dayanıklı
look,"bakmak, görünmek"
look after,"ilgilenmek, bakmak"
look away,dalıp gitmek
look down on,küçümsemek
look for,aramak
look forward to,dört gözle beklemek
look like,… gibi görünmek
look to,yönelmek
look up,aramak
lorry,kamyon
lose (V2 - 3 lost),kaybetmek
loss,kayıp
lot,grup
loudly,yüksek sesle
low,düşük
lower,azaltmak
loyal,sadık
loyalty,sadakat
lucky,şanslı
luggage,"bavul, bagaj"
lunar,ay
lung,akciğer
luxurious,lüks
magnetic field,manyetik alan
magnificence,ihtişam
magnificent,"görkemli, muhteşem"
magnified,abartılı
magnify,artırmak
main,ana
main idea,ana fikir
mainly,"ana olarak, temelde, aslında, çoğunlukla"
maintain,"iddia etmek / korumak, sürdürmek"
majestic,muhteşem
major,"ana, büyük"
majority,çoğunluk
make available,"sağlamak, erişilir hale gelmek"
make do with,…ile yetinmek
make familiar,tanıtmak
make out,anlamak
make progress,ilerleme kaydetmek
make sb. laugh,güldürmek
make sense,mantıklı olmak
make sth clear,açıkça belirtmek / göstermek
make sth. happen,gerçekleştirmek
make up,"oluşturmak, uydurmak"
make up for,telafi etmek
make use of,"kullanmak, faydalanmak, yararlanmak"
make-believe,"hayali, sahte"
make-up,bileşim
malaria,sıtma
male,erkek
malnutrition,dengesiz beslenme
maltreat,kötü muamele etmek
manage,başarmak
manage to,"başarmak, üstesinden gelmek"
management,yönetim
mankind,insanoğlu
manned,insanlı
manned flight,insanlı uçuş
manner,tarz
manner,"tarz, tavır"
manufacture,üretmek
manufacturing,"imalat, üretim"
manuscript,el yazması
map,haritasını çıkarmak
marine,deniz
mark,işaretlemek
markedly,önemli derecede
market economy,pazar ekonomisi
marriage,evlilik
mass,"kitle, topluluk, kütle"
master,usta
masterpiece,başyapıt
match,"yetişmek, erişmek, karşılamak"
material,madde
matter,"konu, sorun, mesele / (fizik) madde"
matter,"sorun, mesele"
mattress,"döşek, şilte"
mayor,belediye başkanı
meal,"öğün, yemek"
mean,anlamına gelmek
meaning,anlam
means,araç
measure,ölçmek
measurement,ölçüm
meat,et
mechanical,"mekanik, değişmeyen"
mechanism,mekanizma
medical centre,sağlık merkezi
medical school,tıp okulu
medication,ilaç
medicinal,tıbbi
medicine,"tıp / ilaç, tıbbi madde"
medieval,orta çağ
Mediterranean,Akdeniz
meet,buluşmak
meet needs,ihtiyacı karşılamak
meet up,buluşmak
melt,erimek
member,üye
memorize,ezberlemek
memory,"hafıza, hatıra"
mental,"akli, zihinsel"
mental illness,akli rahatsızlık
mentally,ruhsal olarak
mention,bahsetmek
mercy,insaf
merely,"sadece, yalnızca"
meridian,meridyen
message,ileti
metaphor,eğretileme
meteor,göktaşı
metropolis,büyük şehir
Middle Ages,Orta Çağ
middle child,ortanca çocuk
midnight,gece yarısı
mid-week,hafta ortası
migraine,migren
migrate,göç etmek
migration,göç
mild,hafif
militarily,askeri açıdan
military,askeri
Milky Way,Samanyolu
mind,"akıl, zihin / sorun etmek"
mind your own business,kendi işine bak
mine,maden
minor,"küçük, az"
misconception,yanlış anlama
misery,çaresizlik
misfortune,talihsizlik
mismatch,uyumsuzluk
miss,gözden kaçırmak
mistake,hata (yapmak)
mistaken,hatalı
mistakenly,yanlışlıkla
mix,karışım
mixed,karışık
mixed-cropping,karma mahsul
mixture,karışım
modest,"küçük, az"
molecule,molekül
molten,erimiş
monarch,kraliyet ailesi
monastery,manastır
monitor,gözlemlemek
monkey,maymun
monument,anıt
monumental,anıtsal
mood,"ruh hali, tarz"
moon,"ay, uydu"
moral,"ders, manevi"
mosquito,sivrisinek
mostly,çoğunlukla
mountain,dağ
mountaineering,dağcılık
mountainside,dağın eteği
move,hareket etmek
move off,uzaklaşmak
move upon,çıkmak
movement,hareket
movie,film
mud bath,çamur banyosu
murder,cinayet
muscle,kas
musical instrument,müzik aleti
mysterious,gizemli
mystery,gizem
myth,efsane
name for,adını almak
narrate,anlatmak
narrator,anlatıcı
narrow,dar
nasty,"ağır, çirkin"
nation,ulus
national,ulusal
national team,milli takım
native,"ana, bir yere özgü, yerli"
natural,doğal
natural disaster,doğal afet
naturally,"doğal olarak, doğal yoldan"
nature,doğa
naval,donanma
naval,"donanma, denizcilik"
navigation,deniz yolculuğu
navigator,"gezgin, denizci, haritacı"
navy,donanma
near future,yakın gelecek
nearly,neredeyse
necessary,gerekli
necessity,ihtiyaç
need,"ihtiyaç, ihtiyaç duymak"
negative,olumsuz
neglect,gözardı etmek
neighbourhood,mahalle
neighbouring,komşu
nerve centre,merkez
nervous,gergin
nest,yuva
network,ağ
neuron,nöron
neutral,tarafsız
neutralize,"sıfırlamak, dengelemek"
news,haber
newspaper,gazete
newssheet,gazete
nice,hoş
night,gece
nightclub,gece kulübü
no wonder,şüphesiz
noble,asil
nobleman,asil insan
noisy,gürültülü
nomadic,göçebe
nonfiction,kurgusal olmayan düzyazı türü
non-fictional,"kurgusal olmayan, gerçeğe dayalı"
non-governmental organization,sivil toplum kuruluşu
nonsmoking,sigara içmeyen
non-stop,durmaksızın
noon,öğlen
nose,burun
not necessarily,gerek yok
notably,"göze çarpar biçimde, özellikle"
notice,fark etmek
notify,bilgilendirmek
novel,roman
novelist,roman yazarı
novelty,yenilik
nuclear,nükleer
nuclear family,çekirdek aile
numerous,sayısız
nutrient,besin maddesi
nutrition,beslenme
nutritional value,besin değeri
object,nesne
object to,"itiraz etmek, karşı çıkmak"
objection,itiraz
obscurity,belirsizlik
observation,gözlem
observatory,rasathane
observe,gözlemlemek
obsession,"tutku, takıntı"
obstacle,engel
obstruction,engelleme
obtain,"almak, elde etmek"
obvious,"açık, kesin"
obviously,"açıkça, kesinlikle"
occupant,yolcu
occupy,"hakim olmak, işgal etmek"
